Record,Plot_ID,Temporal_replicate,P_scap,P_caesp,P_lian,Ch_rept,Ch_suffr,G_bulb,G_rhiz,T_scap,H_caesp,H_ros,H_scap,H_rept,tot,,,,,,,,,
1_AVR_BM1,AVR_BM1,1,1,1,1,0,0,1,1,0,1,0,1,0,7,,,,,,,,,
1_AVR_BM2,AVR_BM2,1,1,1,1,0,0,1,1,0,1,1,1,0,8,,,,,,,,,
1_AVR_BM3,AVR_BM3,1,1,0,1,0,0,1,0,0,1,1,1,0,6,,,,,,,,,
1_AVR_BM4,AVR_BM4,1,1,0,0,1,0,1,1,1,1,1,1,0,8,,,,,,,,,
1_AVR_BM5,AVR_BM5,1,1,1,1,1,0,1,1,0,1,0,1,0,8,,,,,,,,,
1_AVR_AR1,AVR_AR1,1,1,1,1,1,0,1,1,0,0,1,1,0,8,,,,,,,,,
1_AVR_AR2,AVR_AR2,1,1,0,1,1,0,1,1,0,1,1,1,0,8,,,,,,,,,
1_AVR_AR3,AVR_AR3,1,1,0,1,0,0,0,0,0,0,1,0,0,3,,,,,,,,,H scap
1_AVR_AR4,AVR_AR4,1,1,0,1,0,0,0,1,0,0,0,0,0,3,,,,,,,,,
1_AVR_AR5,AVR_AR5,1,1,1,1,0,0,0,0,0,1,0,1,0,5,,,,,,,,,
1_BIS_PR1,BIS_PR1,1,0,0,0,1,0,1,1,1,1,1,1,1,8,,,,,,,,,
1_BIS_PR2,BIS_PR2,1,0,0,0,1,0,0,0,1,1,1,1,0,5,,,,,,,,,
1_BIS_PR3,BIS_PR3,1,0,1,0,1,0,0,1,0,1,1,1,0,6,,,,,,,,,
1_BIS_PR4,BIS_PR4,1,0,0,0,1,1,0,1,0,1,1,1,0,6,,,,,,,,,
1_BIS_PR5,BIS_PR5,1,0,0,0,0,0,1,1,1,1,1,1,0,6,,,,,,,,,
1_BIS_BM1,BIS_BM1,1,1,1,0,0,0,1,1,0,1,0,1,0,6,,,,,,,,,
1_BIS_BM2,BIS_BM2,1,1,0,0,0,0,0,1,0,1,0,1,0,4,,,,,,,,,
1_BIS_BM3,BIS_BM3,1,1,1,0,0,0,1,1,0,1,0,1,0,6,,,,,,,,,
1_BIS_BM4,BIS_BM4,1,1,0,0,0,0,1,1,0,1,1,1,0,6,,,,,,,,,
1_BIS_BM5,BIS_BM5,1,1,0,0,0,0,1,1,0,1,1,1,0,6,,,,,,,,,
1_BIS_AR1,BIS_AR1,1,1,0,0,0,0,0,0,1,1,0,1,0,4,,,,,,,,,
1_BIS_AR2,BIS_AR2,1,1,0,0,0,0,0,1,1,1,0,1,0,5,,,,,,,,,
1_BIS_AR3,BIS_AR3,1,1,0,0,0,0,0,0,0,0,0,1,0,2,,,,,,,,,
1_BIS_AR4,BIS_AR4,1,1,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,
1_BIS_AR5,BIS_AR5,1,1,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,
2_AVR_BM1,AVR_BM1,2,1,1,1,0,0,1,1,0,1,0,1,0,7,,,,,,,,,
2_AVR_BM2,AVR_BM2,2,1,1,1,0,0,1,1,0,1,1,1,0,8,,,,,,,,,
2_AVR_BM3,AVR_BM3,2,1,1,1,0,0,1,1,0,1,1,1,0,8,,,,,,,,,
2_AVR_BM4,AVR_BM4,2,1,0,1,1,0,1,1,1,1,1,1,0,9,,,,,,,,,
2_AVR_BM5,AVR_BM5,2,1,1,1,1,0,1,1,0,1,0,1,0,8,,,,,,,,,
2_AVR_AR1,AVR_AR1,2,1,1,1,1,0,1,1,0,0,1,1,0,8,,,,,,,,,
2_AVR_AR2,AVR_AR2,2,1,1,1,1,0,1,1,0,1,1,1,0,9,,,,,,,,,
2_AVR_AR3,AVR_AR3,2,1,0,1,0,0,0,0,0,0,0,1,0,3,,,,,,,,,
2_AVR_AR4,AVR_AR4,2,1,0,1,0,0,0,1,0,0,0,0,0,3,,,,,,,,,
2_AVR_AR5,AVR_AR5,2,1,1,1,0,0,0,0,0,1,0,1,0,5,,,,,,,,,
2_BIS_PR1,BIS_PR1,2,0,0,0,1,0,1,0,1,1,1,1,1,7,,,,,,,,,
2_BIS_PR2,BIS_PR2,2,0,0,0,1,0,0,0,1,1,1,1,1,6,,,,,,,,,
2_BIS_PR3,BIS_PR3,2,0,1,0,1,0,0,1,0,1,1,1,1,7,,,,,,,,,
2_BIS_PR4,BIS_PR4,2,0,0,0,1,1,0,1,0,1,1,1,0,6,,,,,,,,,
2_BIS_PR5,BIS_PR5,2,0,0,0,0,0,1,0,1,1,1,1,1,6,,,,,,,,,
2_BIS_BM1,BIS_BM1,2,1,1,0,0,0,0,1,0,1,0,1,0,5,,,,,,,,,
2_BIS_BM2,BIS_BM2,2,1,0,0,0,0,0,1,0,1,0,1,0,4,,,,,,,,,
2_BIS_BM3,BIS_BM3,2,1,1,1,0,0,0,1,0,1,0,1,0,6,,,,,,,,,
2_BIS_BM4,BIS_BM4,2,1,0,0,0,0,0,1,0,1,1,1,0,5,,,,,,,,,
2_BIS_BM5,BIS_BM5,2,1,0,0,0,0,0,1,0,1,1,1,0,5,,,,,,,,,
2_BIS_AR1,BIS_AR1,2,1,0,0,0,0,0,0,1,1,0,1,0,4,,,,,,,,,
2_BIS_AR2,BIS_AR2,2,1,0,0,0,0,0,1,1,1,0,1,0,5,,,,,,,,,
2_BIS_AR3,BIS_AR3,2,1,0,0,0,0,0,0,0,0,1,1,0,3,,,,,,,,,
2_BIS_AR4,BIS_AR4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
2_BIS_AR5,BIS_AR5,2,1,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,
3_AVR_BM1,AVR_BM1,3,1,1,1,0,0,1,1,0,1,0,1,0,7,,,,,,,,,
3_AVR_BM2,AVR_BM2,3,1,1,1,0,0,1,1,0,1,1,1,0,8,,,,,,,,,
3_AVR_BM3,AVR_BM3,3,1,1,1,0,0,1,1,0,1,1,1,0,8,,,,,,,,,
3_AVR_BM4,AVR_BM4,3,1,1,1,1,0,1,1,1,1,1,1,0,10,,,,,,,,,
3_AVR_BM5,AVR_BM5,3,1,1,1,1,0,1,1,0,1,0,1,0,8,,,,,,,,,
3_AVR_AR1,AVR_AR1,3,1,1,1,1,0,1,1,0,0,1,1,0,8,,,,,,,,,
3_AVR_AR2,AVR_AR2,3,1,1,1,1,0,0,1,0,1,1,1,0,8,,,,,,,,,
3_AVR_AR3,AVR_AR3,3,1,0,1,0,0,0,0,0,0,0,1,0,3,,,,,,,,,
3_AVR_AR4,AVR_AR4,3,1,0,1,0,0,0,1,0,0,0,0,0,3,,,,,,,,,
3_AVR_AR5,AVR_AR5,3,1,1,1,0,0,0,0,0,1,0,1,0,5,,,,,,,,,
3_BIS_PR1,BIS_PR1,3,0,0,0,1,0,1,0,0,1,1,1,1,6,,,,,,,,,
3_BIS_PR2,BIS_PR2,3,0,0,0,1,0,0,0,0,1,0,1,1,4,,,,,,,,,
3_BIS_PR3,BIS_PR3,3,1,1,0,1,0,0,0,0,1,0,1,1,6,,,,,,,,,
3_BIS_PR4,BIS_PR4,3,0,1,0,1,1,0,0,0,1,0,1,0,5,,,,,,,,,
3_BIS_PR5,BIS_PR5,3,1,0,0,1,0,1,1,0,1,1,1,1,8,,,,,,,,,
3_BIS_BM1,BIS_BM1,3,1,0,0,0,0,0,1,1,1,0,1,0,5,,,,,,,,,
3_BIS_BM2,BIS_BM2,3,1,0,0,0,0,0,1,0,1,0,1,0,4,,,,,,,,,
3_BIS_BM3,BIS_BM3,3,1,1,1,0,0,0,1,0,1,0,1,0,6,,,,,,,,,
3_BIS_BM4,BIS_BM4,3,1,0,0,0,0,0,1,0,1,1,1,0,5,,,,,,,,,
3_BIS_BM5,BIS_BM5,3,1,1,0,0,0,0,1,0,1,1,1,0,6,,,,,,,,,
3_BIS_AR1,BIS_AR1,3,1,0,0,0,0,0,0,1,1,0,1,0,4,,,,,,,,,
3_BIS_AR2,BIS_AR2,3,1,0,0,0,0,0,1,1,1,0,1,0,5,,,,,,,,,
3_BIS_AR3,BIS_AR3,3,1,0,1,0,0,0,0,1,0,1,1,0,5,,,,,,,,,
3_BIS_AR4,BIS_AR4,3,1,0,0,0,0,0,0,0,0,0,1,0,2,,,,,,,,,
3_BIS_AR5,BIS_AR5,3,1,0,0,0,0,0,0,0,1,0,1,0,3,,,,,,,,,
4_AVR_BM1,AVR_BM1,4,1,1,1,0,0,0,1,0,1,0,1,0,6,,,,,,,,,
4_AVR_BM2,AVR_BM2,4,1,1,1,0,0,1,1,0,1,1,1,0,8,,,,,,,,,
4_AVR_BM3,AVR_BM3,4,1,1,1,0,0,1,1,0,1,1,1,0,8,,,,,,,,,
4_AVR_BM4,AVR_BM4,4,1,1,1,1,0,1,1,1,1,1,1,0,10,,,,,,,,,
4_AVR_BM5,AVR_BM5,4,1,1,1,1,0,1,1,0,1,0,1,0,8,,,,,,,,,
4_AVR_AR1,AVR_AR1,4,1,1,1,1,0,1,1,0,0,1,1,0,8,,,,,,,,,
4_AVR_AR2,AVR_AR2,4,1,1,1,1,0,0,1,0,1,1,1,0,8,,,,,,,,,
4_AVR_AR3,AVR_AR3,4,1,0,1,0,0,0,0,0,0,0,1,0,3,,,,,,,,,
4_AVR_AR4,AVR_AR4,4,1,0,1,0,0,0,1,0,0,0,0,0,3,,,,,,,,,
4_AVR_AR5,AVR_AR5,4,1,1,1,0,0,0,0,0,1,0,1,0,5,,,,,,,,,
4_BIS_PR1,BIS_PR1,4,0,0,0,1,0,1,0,0,1,1,1,1,6,,,,,,,,,
4_BIS_PR2,BIS_PR2,4,0,0,0,1,0,0,0,0,1,0,1,1,4,,,,,,,,,
4_BIS_PR3,BIS_PR3,4,1,1,0,1,0,0,0,0,1,0,1,0,5,,,,,,,,,
4_BIS_PR4,BIS_PR4,4,0,1,0,1,1,0,0,0,1,0,1,0,5,,,,,,,,,
4_BIS_PR5,BIS_PR5,4,1,0,0,1,0,1,0,0,1,1,1,1,7,,,,,,,,,
4_BIS_BM1,BIS_BM1,4,1,1,0,0,0,0,1,1,1,0,1,0,6,,,,,,,,,
4_BIS_BM2,BIS_BM2,4,1,0,0,0,0,0,1,0,1,0,1,0,4,,,,,,,,,
4_BIS_BM3,BIS_BM3,4,1,1,1,0,0,0,1,0,1,0,1,0,6,,,,,,,,,
4_BIS_BM4,BIS_BM4,4,1,0,0,0,0,0,1,0,1,1,1,0,5,,,,,,,,,
4_BIS_BM5,BIS_BM5,4,1,1,0,0,0,0,1,0,1,1,1,0,6,,,,,,,,,
4_BIS_AR1,BIS_AR1,4,1,0,0,0,0,0,0,1,1,0,1,0,4,,,,,,,,,
4_BIS_AR2,BIS_AR2,4,1,0,0,0,0,0,1,1,1,0,1,0,5,,,,,,,,,
4_BIS_AR3,BIS_AR3,4,1,0,1,0,0,0,0,1,0,1,1,0,5,,,,,,,,,
4_BIS_AR4,BIS_AR4,4,1,0,0,0,0,0,0,0,0,0,1,0,2,,,,,,,,,
4_BIS_AR5,BIS_AR5,4,1,0,0,0,0,0,0,0,1,0,1,0,3,,,,,,,,,