Record,Site,Habitat,Plot_ID,Temporal_replicate,Elevation_m,Coordinates,Exposure_degrees,Incline_degrees,Date,Time,GST_°C,Luminosity_lux,Forest_litter_%,Rocks_%,Roots_%,N_species,N_GrowthForms
1_AVR_BM1,Alpe del Vicerè,mixed forest,AVR_BM1,1,928,N 45°49.814' E 009°11.050',120,25,20230331,10:00,6.2,6300,80,10,0,13,7
1_AVR_BM2,Alpe del Vicerè,mixed forest,AVR_BM2,1,954,N 45°49.816' E 009°11.051',120,40,20230331,10:30,5.9,2780,90,0,10,18,8
1_AVR_BM3,Alpe del Vicerè,mixed forest,AVR_BM3,1,971,N 45°49.836' E 009°11.079',155,30,20230331,11:00,6,11100,80,20,10,7,6
1_AVR_BM4,Alpe del Vicerè,mixed forest,AVR_BM4,1,944,N 45°49.837' E 009°11.076',150,25,20230331,11:30,6.1,2100,80,10,0,18,8
1_AVR_BM5,Alpe del Vicerè,mixed forest,AVR_BM5,1,947,N 45°49.676' E 009°11.111',180,25,20230331,12:00,6,1350,90,0,0,12,8
1_AVR_AR1,Alpe del Vicerè,spruce plantation,AVR_AR1,1,891,N 45°49.673' E 009°11.432',15,30,20230331,09:00,4.1,50.5,80,10,0,17,8
1_AVR_AR2,Alpe del Vicerè,spruce plantation,AVR_AR2,1,894,N 45°49.622' E 009°11.443',150,28,20230331,09:30,5,930,80,10,0,21,8
1_AVR_AR3,Alpe del Vicerè,spruce plantation,AVR_AR3,1,924,N 45°49.620' E 009°11.445',195,17,20230331,09:30,4,1330,90,10,10,3,3
1_AVR_AR4,Alpe del Vicerè,spruce plantation,AVR_AR4,1,924,N 45°49.620' E 009°11.445',195,26,20230331,09:30,3.7,890,90,0,10,5,3
1_AVR_AR5,Alpe del Vicerè,spruce plantation,AVR_AR5,1,924,N 45°49.620' E 009°11.445',195,20,20230331,09:30,4,1280,80,0,0,8,5
1_BIS_PR1,Monte Bisbino,grass-pasture,BIS_PR1,1,1291,N 45°49.676' E 009°11.111',240,25,20230401,10:15,8,64000,10,0,0,22,8
1_BIS_PR2,Monte Bisbino,grass-pasture,BIS_PR2,1,1319,N 45°52.447' E 009°04.168',270,30,20230401,12:10,16,112000,40,0,0,17,5
1_BIS_PR3,Monte Bisbino,grass-pasture,BIS_PR3,1,1266,N 45°52.343' E 009°04.898',225,27,20230401,13:00,16,140000,10,0,0,14,6
1_BIS_PR4,Monte Bisbino,grass-pasture,BIS_PR4,1,1276,N 45°52.407' E 009°03.881',240,30,20230401,13:30,26,121800,30,20,0,20,6
1_BIS_PR5,Monte Bisbino,grass-pasture,BIS_PR5,1,1264,N 45°52.408' E 009°03.879',15,30,20230401,14:30,25,72000,60,10,0,11,6
1_BIS_BM1,Monte Bisbino,mixed forest,BIS_BM1,1,1315,N 45°52.414' E 009°04.129',300,40,20230401,10:45,1.7,4120,70,10,0,15,6
1_BIS_BM2,Monte Bisbino,mixed forest,BIS_BM2,1,1265,N 45°52.370' E 009°03.867',315,30,20230401,11:00,0,3400,60,20,0,10,4
1_BIS_BM3,Monte Bisbino,mixed forest,BIS_BM3,1,1280,N 45°52.367' E 009°03.868',300,30,20230401,11:20,5,1450,90,0,0,10,6
1_BIS_BM4,Monte Bisbino,mixed forest,BIS_BM4,1,1280,N 45°52.344' E 009°03.897',15,35,20230401,15:00,9,24700,80,20,0,12,6
1_BIS_BM5,Monte Bisbino,mixed forest,BIS_BM5,1,1260,N 45°52.343' E 009°03.898',30,35,20230401,15:15,8.5,19100,90,10,0,14,6
1_BIS_AR1,Monte Bisbino,spruce plantation ,BIS_AR1,1,1298,N 45°52.422' E 009°03.919',135,30,20230401,10:00,2,840,100,0,0,7,4
1_BIS_AR2,Monte Bisbino,spruce plantation ,BIS_AR2,1,1290,N 45°52.429' E 009°03.921',120,30,20230401,10:30,7,1300,80,0,0,10,5
1_BIS_AR3,Monte Bisbino,spruce plantation ,BIS_AR3,1,1285,N 45°52.433' E 009°03.922',210,35,20230401,14:00,5.5,1050,80,20,0,5,2
1_BIS_AR4,Monte Bisbino,spruce plantation ,BIS_AR4,1,1254,N 45°52.484' E 009°04.305',300,30,20230401,11:40,3.5,2640,90,10,0,3,2
1_BIS_AR5,Monte Bisbino,spruce plantation ,BIS_AR5,1,1241,N 45°52.521' E 009°04.333',300,30,20230401,11:50,2.5,2005,90,0,10,4,2
2_AVR_BM1,Alpe del Vicerè,mixed forest,AVR_BM1,2,928,N 45°49.814' E 009°11.050',120,25,20230502,09:00,9.1,3500,80,10,0,15,7
2_AVR_BM2,Alpe del Vicerè,mixed forest,AVR_BM2,2,954,N 45°49.816' E 009°11.051',120,40,20230502,09:30,11.1,9800,80,0,10,24,8
2_AVR_BM3,Alpe del Vicerè,mixed forest,AVR_BM3,2,971,N 45°49.836' E 009°11.079',155,30,20230502,10:00,11.1,11000,80,20,10,13,8
2_AVR_BM4,Alpe del Vicerè,mixed forest,AVR_BM4,2,944,N 45°49.837' E 009°11.076',150,25,20230502,10:30,12.5,14000,50,10,0,27,9
2_AVR_BM5,Alpe del Vicerè,mixed forest,AVR_BM5,2,947,N 45°49.676' E 009°11.111',180,25,20230502,11:00,13.8,13000,70,0,0,21,8
2_AVR_AR1,Alpe del Vicerè,spruce plantation,AVR_AR1,2,891,N 45°49.673' E 009°11.432',15,30,20230502,12:30,11.2,1300,70,10,0,23,8
2_AVR_AR2,Alpe del Vicerè,spruce plantation,AVR_AR2,2,894,N 45°49.622' E 009°11.443',150,28,20230502,13:00,13.5,5500,60,10,0,23,9
2_AVR_AR3,Alpe del Vicerè,spruce plantation,AVR_AR3,2,924,N 45°49.620' E 009°11.445',195,17,20230502,09:30,12,8000,90,10,10,4,3
2_AVR_AR4,Alpe del Vicerè,spruce plantation,AVR_AR4,2,924,N 45°49.620' E 009°11.445',195,26,20230502,09:30,11.4,6200,90,0,10,4,3
2_AVR_AR5,Alpe del Vicerè,spruce plantation,AVR_AR5,2,924,N 45°49.620' E 009°11.445',195,20,20230502,09:30,12.2,3000,80,0,0,8,5
2_BIS_PR1,Monte Bisbino,grass-pasture,BIS_PR1,2,1291,N 45°52.418' E 009°04.133',240,25,20230428,11:10,18.1,55000,10,0,0,25,7
2_BIS_PR2,Monte Bisbino,grass-pasture,BIS_PR2,2,1319,N 45°52.447' E 009°04.168',270,30,20230428,13:00,18.1,45000,40,0,0,18,6
2_BIS_PR3,Monte Bisbino,grass-pasture,BIS_PR3,2,1266,N 45°52.343' E 009°04.898',225,27,20230428,13:15,14,25000,10,0,0,21,7
2_BIS_PR4,Monte Bisbino,grass-pasture,BIS_PR4,2,1276,N 45°52.407' E 009°03.881',240,30,20230428,13:50,17.4,32000,30,20,0,18,6
2_BIS_PR5,Monte Bisbino,grass-pasture,BIS_PR5,2,1264,N 45°52.408' E 009°03.879',15,30,20230428,09:30,11.7,20000,60,10,0,24,6
2_BIS_BM1,Monte Bisbino,mixed forest,BIS_BM1,2,1315,N 45°52.414' E 009°04.129',300,40,20230428,11:35,10.8,23000,60,10,0,10,5
2_BIS_BM2,Monte Bisbino,mixed forest,BIS_BM2,2,1265,N 45°52.370' E 009°03.867',315,30,20230428,12:00,12.4,6700,60,20,0,10,4
2_BIS_BM3,Monte Bisbino,mixed forest,BIS_BM3,2,1280,N 45°52.367' E 009°03.868',300,30,20230428,12:15,11.1,6000,90,0,0,13,6
2_BIS_BM4,Monte Bisbino,mixed forest,BIS_BM4,2,1280,N 45°52.344' E 009°03.897',15,35,20230428,10:00,15,25000,70,20,0,14,5
2_BIS_BM5,Monte Bisbino,mixed forest,BIS_BM5,2,1260,N 45°52.343' E 009°03.898',30,35,20230428,10:15,13.3,19500,80,10,0,14,5
2_BIS_AR1,Monte Bisbino,spruce plantation,BIS_AR1,2,1298,N 45°52.422' E 009°03.919',135,30,20230428,10:30,10.3,4000,90,0,0,7,4
2_BIS_AR2,Monte Bisbino,spruce plantation,BIS_AR2,2,1290,N 45°52.429' E 009°03.921',120,30,20230428,10:45,8.6,5300,70,0,0,12,5
2_BIS_AR3,Monte Bisbino,spruce plantation,BIS_AR3,2,1285,N 45°52.433' E 009°03.922',210,35,20230428,14:45,10.4,1800,80,20,0,5,3
2_BIS_AR4,Monte Bisbino,spruce plantation,BIS_AR4,2,1254,N 45°52.484' E 009°04.305',300,30,20230428,12:30,9.7,6000,90,10,0,3,1
2_BIS_AR5,Monte Bisbino,spruce plantation,BIS_AR5,2,1241,N 45°52.521' E 009°04.333',300,30,20230428,12:40,9.7,4600,90,0,10,5,2
3_AVR_BM1,Alpe del Vicerè,mixed forest,AVR_BM1,3,928,N 45°49.814' E 009°11.050',120,25,20230526,06:30,10.9,91,80,10,0,17,7
3_AVR_BM2,Alpe del Vicerè,mixed forest,AVR_BM2,3,954,N 45°49.816' E 009°11.051',120,40,20230526,07:00,10.7,615,80,0,10,29,8
3_AVR_BM3,Alpe del Vicerè,mixed forest,AVR_BM3,3,971,N 45°49.836' E 009°11.079',155,30,20230526,07:30,12.7,180,80,20,10,14,8
3_AVR_BM4,Alpe del Vicerè,mixed forest,AVR_BM4,3,944,N 45°49.837' E 009°11.076',150,25,20230526,08:00,12.2,220,50,10,10,27,10
3_AVR_BM5,Alpe del Vicerè,mixed forest,AVR_BM5,3,947,N 45°49.676' E 009°11.111',180,25,20230526,08:30,12.5,350,60,0,0,20,8
3_AVR_AR1,Alpe del Vicerè,spruce plantation,AVR_AR1,3,891,N 45°49.673' E 009°11.432',15,30,20230526,09:50,14.4,330,70,10,0,20,8
3_AVR_AR2,Alpe del Vicerè,spruce plantation,AVR_AR2,3,894,N 45°49.622' E 009°11.443',150,28,20230526,10:20,21.1,54000,50,10,10,22,8
3_AVR_AR3,Alpe del Vicerè,spruce plantation,AVR_AR3,3,924,N 45°49.620' E 009°11.445',195,17,20230526,09:15,13.5,1000,90,10,10,6,3
3_AVR_AR4,Alpe del Vicerè,spruce plantation,AVR_AR4,3,924,N 45°49.620' E 009°11.445',195,26,20230526,09:15,14,620,90,0,10,4,3
3_AVR_AR5,Alpe del Vicerè,spruce plantation,AVR_AR5,3,924,N 45°49.620' E 009°11.445',195,20,20230526,09:15,14.2,2000,80,0,0,8,5
3_BIS_PR1,Monte Bisbino,grass-pasture,BIS_PR1,3,1291,N 45°52.418' E 009°04.133',240,25,20230530,12:10,31.1,60000,10,0,0,25,6
3_BIS_PR2,Monte Bisbino,grass-pasture,BIS_PR2,3,1319,N 45°52.447' E 009°04.168',270,30,20230530,14:00,23.6,24000,10,0,0,25,4
3_BIS_PR3,Monte Bisbino,grass-pasture,BIS_PR3,3,1266,N 45°52.343' E 009°04.898',225,27,20230530,14:25,19.6,17000,10,0,0,26,6
3_BIS_PR4,Monte Bisbino,grass-pasture,BIS_PR4,3,1276,N 45°52.407' E 009°03.881',240,30,20230530,14:50,23.3,75000,10,20,0,23,5
3_BIS_PR5,Monte Bisbino,grass-pasture,BIS_PR5,3,1264,N 45°52.408' E 009°03.879',15,30,20230530,10:20,18.8,57000,10,10,0,32,8
3_BIS_BM1,Monte Bisbino,mixed forest,BIS_BM1,3,1315,N 45°52.414' E 009°04.129',300,40,20230530,12:45,12.4,1600,60,10,0,13,5
3_BIS_BM2,Monte Bisbino,mixed forest,BIS_BM2,3,1265,N 45°52.370' E 009°03.867',315,30,20230530,13:00,13,2100,60,20,0,13,4
3_BIS_BM3,Monte Bisbino,mixed forest,BIS_BM3,3,1280,N 45°52.367' E 009°03.868',300,30,20230530,13:10,13.1,1890,70,0,0,15,6
3_BIS_BM4,Monte Bisbino,mixed forest,BIS_BM4,3,1280,N 45°52.344' E 009°03.897',15,35,20230530,11:00,15.5,4800,60,20,0,16,5
3_BIS_BM5,Monte Bisbino,mixed forest,BIS_BM5,3,1260,N 45°52.343' E 009°03.898',30,35,20230530,11:15,12.7,1300,60,10,0,20,6
3_BIS_AR1,Monte Bisbino,spruce plantation,BIS_AR1,3,1298,N 45°52.422' E 009°03.919',135,30,20230530,11:40,12.9,5700,80,0,0,9,4
3_BIS_AR2,Monte Bisbino,spruce plantation,BIS_AR2,3,1290,N 45°52.429' E 009°03.921',120,30,20230530,11:50,11.6,3000,50,0,0,15,5
3_BIS_AR3,Monte Bisbino,spruce plantation,BIS_AR3,3,1285,N 45°52.433' E 009°03.922',210,35,20230530,15:00,13.3,870,80,20,0,6,5
3_BIS_AR4,Monte Bisbino,spruce plantation,BIS_AR4,3,1254,N 45°52.484' E 009°04.305',300,30,20230530,13:25,12,13000,90,10,0,6,2
3_BIS_AR5,Monte Bisbino,spruce plantation,BIS_AR5,3,1241,N 45°52.521' E 009°04.333',300,30,20230530,13:30,12,11500,90,0,10,6,3
4_AVR_BM1,Alpe del Vicerè,mixed forest,AVR_BM1,4,928,N 45°49.814' E 009°11.050',120,25,20230630,08:00,15.5,200,80,10,0,15,6
4_AVR_BM2,Alpe del Vicerè,mixed forest,AVR_BM2,4,954,N 45°49.816' E 009°11.051',120,40,20230630,08:30,15,720,80,0,10,29,8
4_AVR_BM3,Alpe del Vicerè,mixed forest,AVR_BM3,4,971,N 45°49.836' E 009°11.079',155,30,20230630,09:00,14.5,390,80,20,10,14,8
4_AVR_BM4,Alpe del Vicerè,mixed forest,AVR_BM4,4,944,N 45°49.837' E 009°11.076',150,25,20230630,09:30,15.2,900,50,10,0,28,10
4_AVR_BM5,Alpe del Vicerè,mixed forest,AVR_BM5,4,947,N 45°49.676' E 009°11.111',180,25,20230630,10:00,14.7,380,60,0,0,20,8
4_AVR_AR1,Alpe del Vicerè,spruce plantation,AVR_AR1,4,891,N 45°49.673' E 009°11.432',15,30,20230630,07:00,14.3,46,70,10,0,20,8
4_AVR_AR2,Alpe del Vicerè,spruce plantation,AVR_AR2,4,894,N 45°49.622' E 009°11.443',150,28,20230630,07:30,15.2,330,50,10,0,23,8
4_AVR_AR3,Alpe del Vicerè,spruce plantation,AVR_AR3,4,924,N 45°49.620' E 009°11.445',195,17,20230630,10:30,15.3,990,90,10,10,6,3
4_AVR_AR4,Alpe del Vicerè,spruce plantation,AVR_AR4,4,924,N 45°49.620' E 009°11.445',195,26,20230630,10:30,15.2,750,90,0,10,4,3
4_AVR_AR5,Alpe del Vicerè,spruce plantation,AVR_AR5,4,924,N 45°49.620' E 009°11.445',195,20,20230630,10:30,15.3,1220,80,0,0,8,5
4_BIS_PR1,Monte Bisbino,grass-pasture,BIS_PR1,4,1291,N 45°52.418' E 009°04.133',240,25,20230704,11:20,20.5,40000,10,0,0,26,6
4_BIS_PR2,Monte Bisbino,grass-pasture,BIS_PR2,4,1319,N 45°52.447' E 009°04.168',270,30,20230704,12:15,24.5,41000,10,0,0,20,4
4_BIS_PR3,Monte Bisbino,grass-pasture,BIS_PR3,4,1266,N 45°52.343' E 009°04.898',225,27,20230704,12:30,26.8,40000,10,0,0,22,5
4_BIS_PR4,Monte Bisbino,grass-pasture,BIS_PR4,4,1276,N 45°52.407' E 009°03.881',240,30,20230704,11:50,22.3,123000,10,20,0,20,5
4_BIS_PR5,Monte Bisbino,grass-pasture,BIS_PR5,4,1264,N 45°52.408' E 009°03.879',15,30,20230704,09:35,18.7,27000,10,10,0,28,7
4_BIS_BM1,Monte Bisbino,mixed forest,BIS_BM1,4,1315,N 45°52.414' E 009°04.129',300,40,20230704,13:25,15.6,8000,60,10,0,15,6
4_BIS_BM2,Monte Bisbino,mixed forest,BIS_BM2,4,1265,N 45°52.370' E 009°03.867',315,30,20230704,13:20,17.1,2000,60,20,0,9,4
4_BIS_BM3,Monte Bisbino,mixed forest,BIS_BM3,4,1280,N 45°52.367' E 009°03.868',300,30,20230704,13:15,17.1,870,70,0,0,14,6
4_BIS_BM4,Monte Bisbino,mixed forest,BIS_BM4,4,1280,N 45°52.344' E 009°03.897',15,35,20230704,10:15,16.1,5000,50,20,0,14,5
4_BIS_BM5,Monte Bisbino,mixed forest,BIS_BM5,4,1260,N 45°52.343' E 009°03.898',30,35,20230704,10:30,15.1,2300,50,10,0,19,6
4_BIS_AR1,Monte Bisbino,spruce plantation,BIS_AR1,4,1298,N 45°52.422' E 009°03.919',135,30,20230704,10:55,15.6,2400,70,0,0,8,4
4_BIS_AR2,Monte Bisbino,spruce plantation,BIS_AR2,4,1290,N 45°52.429' E 009°03.921',120,30,20230704,11:05,14.4,4000,60,0,0,13,5
4_BIS_AR3,Monte Bisbino,spruce plantation,BIS_AR3,4,1285,N 45°52.433' E 009°03.922',210,35,20230704,12:05,16.1,950,80,20,0,6,5
4_BIS_AR4,Monte Bisbino,spruce plantation,BIS_AR4,4,1254,N 45°52.484' E 009°04.305',300,30,20230704,13:10,16.7,1500,90,10,0,6,2
4_BIS_AR5,Monte Bisbino,spruce plantation,BIS_AR5,4,1241,N 45°52.521' E 009°04.333',300,30,20230704,13:00,17.6,1190,90,0,10,6,3